Grid_Number,hospital
26,9.0
27,5.0
28,22.0
29,7.0
45,15.0
46,15.0
47,15.0
48,13.0
49,18.0
50,9.0
51,17.0
52,25.0
58,26.0
59,13.0
65,7.0
66,16.0
67,20.0
68,10.0
69,4.0
70,14.0
71,14.0
72,3.0
77,20.0
78,12.0
79,14.0
80,24.0
81,25.0
82,19.0
83,14.0
84,28.0
85,15.0
86,13.0
87,1.0
88,11.0
89,26.0
90,15.0
91,21.0
96,7.0
97,12.0
98,8.0
99,19.0
102,19.0
103,9.0
104,12.0
105,20.0
106,6.0
107,14.0
108,13.0
110,6.0
116,27.0
117,19.0
120,6.0
121,31.0
122,13.0
123,14.0
124,12.0
125,10.0
126,11.0
127,9.0
128,22.0
135,2.0
141,22.0
142,6.0
143,13.0
145,13.0
147,23.0
148,6.0
149,17.0
153,24.0
154,4.0
155,8.0
160,10.0
161,12.0
162,12.0
164,16.0
165,13.0
166,14.0
167,6.0
168,24.0
169,10.0
172,25.0
173,25.0
174,24.0
175,21.0
179,14.0
180,8.0
181,16.0
182,16.0
183,17.0
184,14.0
185,17.0
186,2.0
187,10.0
188,16.0
197,33.0
198,15.0
199,15.0
200,6.0
201,5.0
202,9.0
203,6.0
204,23.0
205,13.0
206,11.0
207,8.0
217,25.0
218,27.0
219,27.0
220,26.0
221,4.0
222,45.0
223,14.0
224,7.0
225,10.0
226,6.0
241,4.0
242,30.0
243,14.0
244,35.0
245,16.0
260,1.0
261,10.0
262,13.0
263,21.0
264,17.0
