Grid_Number,hospital
19,11.0
32,1.0
45,0.0
46,1.0
59,1.0
60,6.0
74,35.0
75,8.0
85,13.0
86,7.0
99,18.0
100,16.0
101,20.0
102,23.0
113,5.0
114,10.0
115,16.0
116,6.0
117,18.0
118,21.0
119,15.0
120,19.0
121,16.0
122,15.0
127,19.0
128,17.0
129,22.0
130,6.0
131,19.0
132,13.0
133,20.0
134,14.0
135,10.0
136,28.0
137,7.0
143,8.0
144,23.0
145,22.0
146,14.0
147,26.0
148,13.0
149,14.0
150,12.0
151,31.0
152,9.0
153,11.0
158,5.0
159,7.0
160,3.0
161,6.0
162,12.0
163,9.0
164,7.0
165,7.0
166,12.0
167,9.0
174,1.0
175,22.0
176,10.0
