Grid_Number,hospital
30,18.0
47,10.0
48,9.0
49,13.0
65,23.0
66,12.0
67,17.0
68,20.0
81,11.0
82,15.0
83,35.0
84,12.0
86,31.0
101,10.0
102,18.0
103,6.0
104,21.0
105,20.0
120,15.0
121,10.0
122,28.0
123,25.0
124,19.0
125,11.0
135,5.0
136,20.0
137,20.0
138,24.0
139,17.0
140,8.0
141,8.0
142,1.0
143,12.0
144,12.0
145,18.0
146,22.0
147,9.0
153,20.0
154,18.0
155,9.0
156,12.0
157,25.0
158,6.0
159,13.0
160,18.0
161,11.0
162,14.0
163,15.0
164,17.0
167,27.0
172,7.0
174,19.0
175,5.0
176,9.0
177,31.0
178,14.0
179,14.0
180,16.0
181,14.0
182,17.0
186,16.0
188,24.0
192,12.0
193,14.0
194,14.0
195,7.0
196,12.0
197,8.0
198,6.0
199,10.0
200,11.0
201,15.0
202,17.0
204,14.0
205,11.0
212,15.0
213,15.0
214,23.0
215,16.0
216,16.0
217,12.0
218,13.0
219,13.0
220,9.0
221,19.0
222,17.0
223,10.0
224,13.0
233,36.0
234,12.0
235,12.0
236,14.0
237,6.0
238,13.0
239,21.0
240,4.0
241,18.0
242,17.0
243,20.0
253,11.0
254,17.0
255,17.0
256,15.0
257,13.0
258,9.0
259,25.0
260,18.0
261,1.0
262,4.0
281,15.0
